2024-04-05 23:15:00 [grizzly-http-server-0] INFO  fiap.tds.repositories.ProdutoRepository - GET /produtos
2024-04-05 23:16:21 [grizzly-http-server-0] INFO  fiap.tds.ProdutoResource - GET /produtos
2024-04-05 23:17:16 [grizzly-http-server-0] INFO  fiap.tds.ProdutoResource - GET /produtos
2024-04-05 23:17:39 [grizzly-http-server-1] INFO  fiap.tds.ProdutoResource - GET /produtos
2024-04-05 23:19:36 [main] INFO  fiap.tds.Main - Iniciano aplicação...
2024-04-05 23:19:48 [grizzly-http-server-0] INFO  fiap.tds.Main - GET /produtos
2024-04-05 23:20:18 [main] INFO  fiap.tds.Main - Iniciano aplicação...
2024-04-05 23:20:21 [grizzly-http-server-0] INFO  fiap.tds.Main - GET /produtos
2024-04-05 23:20:35 [main] INFO  fiap.tds.Main - Aplicação finalizada....
2024-04-06 10:06:30 [main] INFO  fiap.tds.Main - Iniciano aplicação...
2024-04-06 10:06:42 [main] INFO  fiap.tds.Main - Iniciano aplicação...
2024-04-08 19:21:27 [main] INFO  fiap.tds.Main - Iniciano aplicação...
2024-04-08 19:36:55 [main] INFO  fiap.tds.Main - Iniciano aplicação...
2024-04-08 19:37:48 [grizzly-http-server-10] INFO  fiap.tds.Main - GET /produtos
2024-04-08 19:37:49 [grizzly-http-server-10] ERROR fiap.tds.Main - Erro ao buscar produtos: Invalid column name
2024-04-08 19:38:36 [main] INFO  fiap.tds.Main - Iniciano aplicação...
2024-04-08 19:38:39 [grizzly-http-server-0] INFO  fiap.tds.Main - GET /produtos
2024-04-08 19:38:39 [grizzly-http-server-0] ERROR fiap.tds.Main - Erro ao buscar produtos: Invalid column name
2024-04-08 19:39:47 [main] INFO  fiap.tds.Main - Iniciano aplicação...
2024-04-08 19:39:51 [grizzly-http-server-3] INFO  fiap.tds.Main - GET /produtos
2024-04-08 19:40:02 [grizzly-http-server-3] INFO  fiap.tds.Main - Produtos retornados com sucesso
